,reviews,ratings
59,"In fact... the alien in 'Altered' doesn't so much want to borrow a landline to call his mates, as batter you to death with the mouthpiece and then eat your remains while you're still warm. In short, this film contains the most angry extraterrestrial since that invisible one in the jungle that gave Arnie and his mates such a hard time.

We treated to the tale of a handful of your stereotypical 'rednecks' from the 'deep south' of America – you know the types – the ones who we always laugh at when they go on the Jerry Springer show and claim to have been abducted by aliens and had a dodgy encounter with an anal probe. Anyway, these are our heroes, only they really did come into contact with beings from another world (and they probably wished that it was only anal probing that was on the menu!). In short, they drew the short end of the straw during first contact and now they're out for revenge. And, by way of an amazing coincidence, several years later they go on a hunt to their local woods and only go and capture an alien alive. Then they take him back to one of their houses and decide what to do to him.

But – guess what – the slimy, green man with big teeth only goes and gets loose. All hell follows.

'Altered' is hardly a classic film that will stand the tests of time for its acting, plot, originality, or generally any other praise-worthy point. But it isn't half good fun.

Growing up with the exploits of Scully and Mulder during the nineties, I have fond memories for alien abduction stories. Whether they're real or not, they make a good yarn. And this one is no different. It's totally UNoriginal, but none the worse for it. It's basically a slasher film, but, instead of not knowing who the insane killer is stalking our heroes, we know from the start – the alien. It's just a question of killing the slippery little thing (and obviously staying clear of his razor-sharp teeth and claws).

It's actually quite fun to root for the rednecks. I seem to have lost count of the amount of times they've been portrayed as the baddies. Now we get to see them hold their own against a hideous alien with more teeth than all of them put together. There's no real outstanding performances, although I had a strange liking for the big, dumb 'Duke.' The alien himself is seen in all its glory and is basically a man in a rubber suit, but he does his job. In fact, some of the special effects (or should I say 'gore?') are pretty impressive. So, if you like your slasher films with a healthy dose of sci-fi in there you could do worse that watching this little gem of a B-movie.

Plus, special mention to the 'rope-pull intestine' scene – still makes me squeamish and I've seen this film a few times now.",8
60,"I was really surprised with what I got from Altered. Its a movie i've heard nothing about, so i wasn't expecting much, but what i got was a very thrilling, entertaining and suspenseful film that deserves more recognition than it gets.

This movie creates something that is difficult to do. Build a dreaded atmosphere and icy cold psychology! I thought the idea behind the story was creative, while not trying to do too much with it. Its simple to follow and the characters contribute to some hidden depth.

If you want a film that will give you more than just blood and guts, then Altered is one worth checking out!",7
61,"Altered is a great horror/sci-fi film with a straight story, good ambiance and proves that you don't need a $100 mil budget to create suspense. Also a really underrated one in my opinion.

The film starts with a bunch of rednecks that hope to trap an alien (to extract revenge), since back when they were kids they were abducted. They have been trying to trap one of them nasty things for years and this actually became an activity to drink outdoors. None of them actually believe that they would catch an alien or even know what to do with it if they ever catch one. That is, until one night...they actually manage to trap one.

It is really a great decision that the director took not to use CGI to portray the alien. Instead we have a man in rubber suit and a bit of good ol' animatronics (that's where most of the budget went methinks :) ). Some might find the alien ridiculous but I for one found it quite menacing. The film also have great make up effects like the sickly body of Cody— which was f*cking great.

The film is not only about the alien and the ambiance of course. Each of the bunch actually has a character and depicted quite well throughout the running time of the film. You actually care about these guys. Some you might dislike but some you might like. Also the sheriff is a great little addition but Wyatt's girlfriend would be my only complaint as her character has no depth whatsoever other than being a screaming running bitch. Gore is not used gratuitously and it looks also great. The director really made good use of the cabin combining with great outdoor forest shots to create an eerie atmosphere.

Verdict: if you are a fan of sci-fi/horror definitely go see this. Don't get put off by its IMDb rating.",
62,"That was going to be the original title to this film.

Ans they were gonna make it a comedy! That would have been interesting to see but I'm glad they just kept it the way they did it.

They was some decent acting and scares around.

Adam Kaufman as our hero ""Wyatt"" did an OK job.

His 3 partners-in-crime, big Brad William Henke as ""Duke"", Michael C. Williams as ""Otis""(from Blair Witch) and Paul McCarthy-Boyington as ""Cody"". Did OK also as some ""good-ole hick-boys"" alien hunters.

Out of those three, Paul McCarthy-Boyington as 'Cody', stood out for me. His portrayal of Cody, reminded me so much of David Patrick Kelly. The same compact, feisty and slightly crazed-look. His Cody was like a grenade with the pin pulled.

It was a very nice surprise to see the late great character actor, James Gammon as ""Sheriff Henderson"" in one of his last film roles before he passed away.

Ala in all, not a great film but not a bad one either. Check it out!",
63,"My cable providing is showing this movie for free. I know why. It is an also ran movie. Typical B movie fare that in the 70s I would have watched on a double bill with a good movie. If you gave the late great Don Dohler 8 million dollars this is what he would have come up with. Classy in a bad way.

4 friends went out on a party night and to party was to get high. They loaded up on beer and cocaine and they started their fights with a roar. They could not have known that tonight was going to be the beginning of their longest tour. That is a song of the revolution by night by Blue Oyster Cult. The guys meet an alien 15 before, then they kidnap one 15 years later. They decide to take revenge and bust a cap up the alien's botty but it does the dirty on them again. It really is such a naughty alien. For me they should have given it a severe Ccastigation and then let it go back to being Prime Minister of the UK.

It has to be said it is better than the blair witch project. The creature effects are okay but the movie really shines when see the mutations.",6
64,"Did not know that it was from the director of Blair Witch. Because of the director you might think this is going to be a low budget film shot in a mokumentary style with a shaky camera, but no this is a B-movie horror flick that seemed comedic, in other words campy, but it stays in the grey area of campy and serious with lots of gore but interesting story line. The story seems loosely based off of the Fire in the Sky story. It goes into more detail about the same kind of story. But that film was a drama with sci-fi sprinkled on it, so these two films won't even seem related, but if you are into UFO stuff this is all familiar territory. My main disappointment was with the alien, I didn't mind the rubber suit, it was just that I wish they had shown the typical grey alien that somehow gets morphed/adjusted for the earth forest. Kind of like how our military fatigues change for different types of terrain. Because it wasn't explained in the film, I figured that the reason why the aliens were experimenting on people and wanted Wyatt back was for warfare reasons. I imagine to the aliens we are like bacteria. They could probably easily send a biological/chemical weapon that would wipe out 99% of the population, but just like anti bacterial soap, sometimes, the bacteria can come back stronger. So I assume the aliens wanted to see how much humans can adapt and evolve, and Wyatt had been one of their best specimens that went really far. I'm obviously reading way too far into it, but it made me say to myself this makes sense and accept what was going on in the film. I'm not a gore fan and this film has plenty of it, but the fact that it made me think this much, tells me it had potential and the story was interesting. Expect a B horror film with an interesting plot, the budget however didn't seem that low actually.",5
65,"I wrote a massive review for this but the computer screwed it up, so let me just say this.

Every review here is a lie, this movie is mind bendingly bad.

The actors suck, the plot is hard to follow, there is no connection with characters, the special effects are fairly bad in some areas (alien) and the movie isn't scary at all. All this mixed with a bunch of illogical scenes that will leave you scratching your head make this the worst horror ever..

DO not see this just because this guy made the blair witch project, this is real bad compared to that.",3
66,"This had to be the most stupid and boring movie that I ever saw in my life. Some other reviewers felt the movie would have been better if it had a bigger budget. No, it would not. If anything they should have started with a coherent script.

Basically, these guys catch an alien and take it to a friend's house who was abducted the longest. OK, so let's start with the Alien. When you finally see it, it looks like a cheap Halloween mask (blatantly plastic and phony looking). That being said, I guess special effects aren't their thing.

When they bring the alien to this guy's house he has an arsenal of weapons ready to kill any alien that returns to claim him. However, he keeps warning his buddies not to kill the alien that they captured because it would mean the other aliens would wipe out the human race. Really? If this alien was so easy to capture, and if it was so easy to kill in the end, then I seriously doubt that this species has the ability to wipe out humanity. Later, his girl friend keeps trying to leave, but when she finally gets to go she says ""I'm not leaving you."" What? She's been trying to leave all night and now she's in love again and not leaving her man when he tells her to go?

Later the alien has escapes and holds one of his friends hostage by pulling out the guy's lower intestines and grasping them as if to rip them totally out of the guys body. When the friends are at a standoff with the alien (the alien holding the intestines as if to pull them totally out of cut them in half and the guys with guns fixed on the alien) the friends decide it would be better to wrestle the alien while it's holding their friend's intestines rather than just putting a cap in it's head before it can pull the intestines. I'm not kidding, you can't make this stuff up people.

In the end, the friend who keeps saying not to kill the alien returns with a shotgun in his hands. Why? If killing the alien is the end of humanity, then why a shotgun? BTW, how does being abducted as a child give him this great knowledge of knowing that killing this alien would be the end of humanity?

Let's get back to the girlfriend. At the end she walks in like a bad-ass and kills the alien by putting a cap in its head. Then, later, she's frozen by fear. Then later she's a bad ass again. This goes on through the entire movie folks. After they kill the alien a whole bunch of other aliens come to exact their revenge. The house is surrounded by aliens breaking their way in. So the guy takes the girlfriend under the house where he has a bunker with a detonator to blow up the house should aliens invade it. Now he blows up the house, killing I don't know how many aliens. Keep in mind that this is the guy that kept telling his friends not to kill the first alien and watch the alien kill his friends one-by-one because killing the alien would have resulted in the end of humanity.

Oh, and I forgot to mention that they keep saying not to look in to the aliens eyes or it will take you over, which it did when the girlfriend looked in to it's eyes. However, later in the movie one of the friends is torturing the alien and looking directly in to it's eyes with no problem. This goes back and forth throughout the movie. First the alien has the power to hypnotize, then it doesn't.

At the conclusion, they guy kills all these aliens and guess what? No invasion, no mass extinction. Instead, he and the girlfriend ride off into the sunset.

That's the movie - judge for yourselves people.",1
67,"Eduardo Sánchez was one of the people that went off into the woods and shot some footage of people running around shouting in 1999. This footage was later released as 'the blair witch project', a supposed film which will forever be remembered as both the worst film ever made and one of the biggest rip-offs of all time. In a way you have to hand it to Sánchez and co, they made a lot of money for doing practically nothing, but on the other hand - I'm sure I'm not the only one who wasn't expecting anything all cinematically from anyone who helped in bringing the worst film ever made to our screens. You can imagine my surprise, then, when I tentatively decided to watch Sánchez's ""Altered"" and found it to be halfway decent movie! Obviously the only way was up, but it's still a pretty big surprise. The plot focuses on a group of men who, while out hunting one day, got abducted by aliens. Not happy to just take this on the chin, the men go back to the place where they were abducted sometime later to abduct one of the aliens, for revenge purposes...

The plot springs from an interesting idea. Usually its aliens abducting people, so to make a film that does things the opposite way is an interesting concept. The film is short, running at around eighty minutes, and that's not surprising really considering that interesting concept does get stretched out over the running time. One of the biggest things I hated about blair witch project was the fact that absolutely nothing happens in it; that is not the case here however! It seems Sánchez was keen to dismiss what happened with blair witch as he doesn't hold back with the gore and showing the alien in this film. The alien itself does look more than a little bit silly, but it's good that we get to see it so I can't complain too much. There are some nice gore scenes too - one in which someone has his intestines ripped out being the best of them. The acting isn't great...actually it's pretty crap, but that's not too important considering that I didn't go into this film expecting great performances. Overall, this is not brilliant - but it's pretty decent stuff and I can recommend it.",6
68,"Another DVD-watch from 2007 and a damn good surprise this one was! When you give it no further thought, it seems almost unimaginable that this film was made by the director who previously did ""The Blair Witch Project""... I enjoyed ""Altered"" about 10 times more than his first film. Tight, tense and gripping thrill-ride about alien abduction told ""Night Of The Living Dead""-style (as in: most of it takes place on one location, being an isolated farmhouse). But don't worry, ""Altered"" has enough twists & turns up its sleeve. Decent effects and quite some gross looking special make-up too. I place this one on the same pedestal as more recent horror outings like, let's say, ""The Descent"" and ""Feast"". Though all three are pretty different movies in their own right, if you like one of them, you'll probably like the other two also.",9
69,"I stumbled across this one while browsing the instant view movies on Netflix. I had never heard of it and expected the worst: my girlfriend and I expected to see a movie we could laugh at and rip apart. What we got was a rather terrifying and fun Lovecraftian-esquire ride and once the credits rolled we were very, very pleased with what we saw.

The effects were good, even the ""guy in the rubber suit"" looked cool. The gore was great looking but not overdone (thus making it all the more alarming when i was on screen). The way people rotted from the infection was particularly cool! One thing that annoys me, even as a New Yorker, is when movies make hillbillies *too* hickish to the point of parody. It takes a lot away from movies that are supposed to be serious. These guys were believable, especially as the movie wore on. For some reason, the beginning of the movie was the weakest in this regard, i.e. the hunt. But once the movie kicks in things get good.

As far as acting goes I thought everyone did a great job. The weakest was the sheriff but he's only on screen for a brief few moments. The core actors and actress did a good job and I was impressed with how realistic their reactions to many scenes were.

The plot is summarized on this site, so why waste time doing so here. But I will note this: the fact that they can't actually kill the alien without risking the annihilation of the human race makes it particularly horrifying when this thing is hunting them and vice-versa. No matter what this thing is doing to them they-can't-kill-it! It adds a nice dimension to the movie that I haven't seen in an alien movie before.

In closing, I greatly enjoyed Altered as did my girlfriend, and since seeing it we've spent a lot of conversation time talking about it. The movie had a Lovecraft vibe going on, and with both of us being HUGE Lovecraft fans we can't recommend this movie enough. Is it A-List Hollywood? No... thank god! For the record my mind is blown by the negative reviews. It's almost like they didn't watch the movie or something...",9
70,"This is a combo of a lot of different alien flicks and shows. Mostly though I was reminded of Fire in the Sky & Invaders From Mars. Altered doesn't really stray too far off the beaten path in terms of setting and scenario but it does or should get credit for having an all unknown cast playing rednecks against the typical Larry the Cable Guy/Ernest stero-type. Altered begins at the last half of a group of friends story who were abducted by and experiminted on by aliens. We find out their back story little by little and very little and never through visual flashbacks but instead through the actors own retelling. This is a hell of feat that should be complimented and praised because the entire weight of this movie rest on their shoulders. What also aided my enjoyment was the brisk pacing even though a good portion of Altered is drama and humor and some horror. Thing is there is enough horror here but not a lot when it happens its stunning and unflinching and very very brutal. I had no idea or opinion of this movie going into it because there really is nothing said about it anywhere. I love horror films and this year more than any in a long time there have been a a lot of releases from Grade A to Z and they've mostly sucked.I know its all subjective but that is my opinion. My favorite horror films of 2006 are Roost,HellBent,Feast,Chainsaw The Beginning,The Descent & Silent Hill and now Altered. Most of the above never saw the light of day the rest tanked so I either like garbage or im onto something. Don't know.Don't care. Altered is a damn good movie one that I will recommend and re watch for years to come. To all those other reviewers here who said Eduardo Sanchez will do amazing things one day I couldn't disagree more. He already is.",8
71,"I really wasn't expecting anything from this movie going in. Nobody had reviewed it, and there was no hype, unlike the director's previous Blair Witch. Honestly it looked to me like a film the studio was embarrassed by, and therefore dropped straight to DVD. Speaking of the DVD, which has no extras', it's obvious the suits' had no idea the genre gem they had in there hands'. Altered did everything right, it was suspenseful, well acted, and featured some slick makeup effects. I really felt for each of the friends, and rooted for them to come out of it in one piece. Why this didn't get a theatrical release I do not know, but it definitely wasn't originally intended to go straight to DVD, as the production values are top notch. I read that this film was originally suppose to be an over the top dark comedy, but despite some funny dialog here and there, this was quite dark and serious. Characters' suffer greatly, and it got much nastier then I anticipated. My only complaint is the film doesn't directly answer every question, and ends on a sequel note, that we will probably never see. It doesn't totally leave you up in the air, but certain questions about one characters' abilities, and the reason behind there abduction, are never answered. This film doesn't portray the aliens', as misunderstood, and peaceful, as so many recent movies have, but as mean, vicious creatures, who have no problem killing and torturing, to get what they want. Props to the cast and crew, Altered is an excellent revenge story, and top notch in every way.",10
72,"The scenario of this movie was superb. A House in the middle of the woods with an alien tied up, 3 redneck friends, a strong headed woman, an alcoholic cop, and 1 normal dude. There is a lot more to it than that, but thats the basic premise. If that doesn't sound like your cup of tea, rent something else! For being a b-film they did an incredible job. The Cinematography was great creating a creepy atmosphere. They made full use of surround sound. I don't know why more films try to take more advantage of the surround sound. The dialog was great. There wasn't too much action or dialog, it was a good blend! It made me jump and cringe which is also rare, especially for me! There was only a few bad things to mention. I had higher expectations of what the alien would look like. It was nice that they didn't try to save it for the very end which seems to be far too common in sci-fi movies. It almost reminded me of the old school Creature from the Black Lagoon.

In all reality I give this movie 8.5, but since I can't rate it as that I gave it benefit of the doubt with a 9.",9
73,"ALTERED is a nasty little Sci-Fi/Horror gem that packs on the suspense and dread. There's something here for everyone: Gore hounds will be pleased, people looking for scares will be pleased, those watching only to see the aliens will be pleased. Everyone wins! Unless you're not into Horror flicks. In that case, go watch You, Me, and Dupree.

Some rednecks who were abducted by sadistic and savage aliens manage to capture one of the monsters that tortured them and killed their friend years ago. Of course, it gets loose and it's buddies come looking for it. I know it doesn't sound very good, but believe me when I say that ALTERED is one creepy movie. Let's not forget how well developed some of the characters are. For once, the cast isn't made up of pretty twenty-somethings with no emotion or backstory! Now about the aliens. These things are nasty little buggers. When they bite you, they infect you with a flesh-eating sickness. They have mind-control powers. They have a tendency to dismember victims. They also are able to survive being shot, harpooned, and bludgeoned several times. That last part was one of the film's few flaws: Again, the monster appears to be using some sort of invincibility cheat.

Overall, ALTERED is a well-made, freaky, creature feature that you should check-out ASAP, if you're into monster movies.",8
74,"Eduardo Sanchez's new film is everything it looks to be. That's kind of a problem. You get the setting, the creature and the action that you expect, but little else. The movie moves along with some solid entertainment, but there is no sense of originality and spirit that you can hold onto. Mr. Sanchez claims that ""Altered"" is a film he has wanted to make since high school. Why can't the audience grasp the magic and wonder that made this story so appealing to him through all these years?

Sanchez is one of two directors who banded together on the luckiest student film of all time, ""The Blair Witch Project."" ""Blair Witch"" was a movie that got by on its so-real-it's-scary thrills, despite technically home-made production values. ""Altered"" is a movie where the opposite must be achieved; fantastical, cinematic scares must be created through impressive production values. Good influences are drawn upon to reach such a goal, with some scenes that whiz by on doses of Speilbergian suspense and Raimi-like atmosphere. Sanchez himself is a competent director, but doesn't prove to be a strong enough force with ""Altered."" This is the kind of marketable, cheaply enjoyable movie you'd expect to see on a late night stretch of Sci-Fi channel, when it should be a sound directorial piece for fans of the science fiction and horror genre.

As I said earlier, ""Altered"" is certainly well-done. Great things are done with lighting, cinematography, production design, sound design and special effects. The creature is detailed and scary and a lot of fun scenes are done with it. The opening is absolutely terrific, with an attack of creative sound design and a sequence which plunges you right into the story with no questions asked. I liked how an elaborate back story on extraterrestrial life is pushed aside, as to prevent any distractions. The movie is about five or so people in a small house combating the complications of a kidnapped alien life. Action and suspense are on the top of the priority list, and the point is understood as is the audience. If only more films were this straightforward!

The problem with ""Altered"" is that it doesn't push quite far enough. It is perfectly comfortable being a mediocre, marketable sci-fi picture to turn heads on the New Release rack. ""Altered""'s comfort with itself is a good thing, because the movie doesn't take itself too seriously and it delivers the goods with no distractions. It is a bad thing too, because when the fun is all over, there is little to remember or hold onto. Eduardo Sanchez may be perfectly fine making slick movies with good distribution deals. Who wouldn't? However, film fans and sci-fi/horror buffs surely should expect more from him.",
75,"Here it is again! A story that could have developed into something interesting...maybe. But, this production was brought down by the acting of the main characters, or rather the lack of acting! The worst was the female lead. The best acting was on the part of the dead guys! The aliens were, well, aliens. We don't know how real aliens act, anyway, so any alien performance must be tolerable. I've always thought that a good dose of Tub & Tile cleaner was a great way to protect myself from alien attack. Keep that little trick in your anti-alien kit. I think Universal could have put to better use the $8 million spent on this. They could have added another ride in the amusement park!",2
76,"I like it as far it had some good action moments that put me at the edge of my bed. Enjoyed the gore and some of the ponds in the movie. I'll recommend watching this movie on a nice Sunday evening..... just because its a chill Horror movie.

I wish they would add more to the movie, meaning more information on what happen in the movie, because it didn't kind of start story off into a chase which was pretty interesting. This by far is a good alien movie to watch because its like the humans are now fighting back, but like in a cool hill billy way. For a movie made in like the mid 2000's passes for today film.",7
77,"I bought this movie from a garage sale, only because of the cover. It seems like a cheap flick and so it is. But the suspense all through the time was way better than most of disappointing blockbusters. In my point of view a good thriller is the one which makes you want it to end as soon as possible. This is all about it. I just wanted it to end like now :)The characters were realistic. Just needed some more info of what happened earlier. The guts out guy was some thrilling moment about how an alien would treat a weak earthling. Even though the fx was not sufficient most of the fans of the genre would like this gem. Perhaps producers planned a second movie of what happens to Wyatt next. And then again, perhaps the critics did not make it well to happen.",8
78,"The movie has a promising premise. rednecks got abducted by little aliens on steroids, probed, and god knows what else. The rednecks then decide to go abduct one of them. now thats bad-ass. from there, things get kind of grey. its almost as if the script was written by someone who was bi-polar. Like every creature of the unknown, they come with rules and stipulations. while the rules are spottily explained throughout the movie, they are contradicted, broken, and in the end, just seems like an excuse to have a movie, rather than it being ended in the first few minutes. IF YOU Haven't SEEN THIS MOVIE YET, BY NO MEANS READ THE REST OF THIS. when a writer and director go over a script and plot, at some point, someone has to realize that people will critique it, and by god, maybe it should make sense. these are my main problems with the plot.

1)if you had spent 7 (?) years trying to capture an alien, would you not have figured out what the hell to do with it by then? 2)The girlfriend is just a huge question mark. ""i hate you, i don't, im leaving, but back, i want to go live with my mother, i never want to see you again, ill never leave you"" 3)if you had a very dangerous being captive, would you not secure the damn thing in every possible way? duct tape? these things have solved intergalactic travel. 4)why does everyone manage to let their attention wander from this thing at some point? especially after the 2nd or 3rd time it escaped. 5)the ""sheriff"" shot through a door. on the otherside of which, people were screaming and obviously fighting for their lives. to make a point? 6)the ending, while achieving maximum bad-ass effect, contradicted the whole movie. although the revamped ""flaming bag of poo on the doorstep"" gag in the end was pretty priceless, and actually connected with something said earlier in the film. it may have been the only time that occurred in the movie.

6/10 if only because with the budget, and the intestine tug of war, it was entertaining.",6
79,"Well I have not reviewed a horror film in a while. So I randomly decided to pick out a horror film. And I guess I got this film.

Firstly I was actually surprised by this little film. I was not expecting such a film from such a minuscule budget. This film is very , very, gory . Definitely not for the faint hearted. Tons of f-words and swearing. Perfect for a horror film.

The film is about a group of friends who were apparently abducted by aliens 15 years ago. In which one of their friends died. Now three of the four friends were able to abduct one of the aliens. And they brought it to the fourth friends house, in which his girlfriend is living there also. Now the Aliens are coming back for them and in which the friends cannot trust each other they must figure out a way to survive the night.

So the plot may not have been the best or original , but it manages to work well and plus all the actors were very believable to boot. The story may have been a mixed bag, you know with the ""friendships being tested"" and "" girl caught in the middle"" routines but they are surprisingly well done. The director definitely knows what he wants . The camera work manages to make the surroundings look cold and scary. The cinematography also plays a part in this film , making most sets look dark and pitch black. Although I do have one problem with the film and that is the CGI . Maybe it's just me but I really feel that the CGI was just not believable. It almost made me want to laugh during the serious bits of the movie.

But other than that the movie is definitely a good rental on a Saturday night. Good to watch with friends if they want to get the crap scared out of them.",7
80,"It's been a long time since a movie scared me, and this one succeeded at that straight from the beginning. I like it when movies do that. I really appreciate how the story leaves you guessing and wondering what is going on most of the time, you find yourself questioning what happened before with whom and why, and you don't get all the answers, which to me is a good thing. Makes one remember a movie. Even though it's a sci-fi story, and it has some funny details, for the dirt you get to see it holds a lot of facts often thought of as true, keeps you grounded in reality just enough to scare the living daylights out of you.

There wasn't one moment where I thought the budget must have been small, which probably is a huge compliment for the FX/make-up people involved. The casting and acting were superb. Good thing the screenplay ads just enough criticism to their characters to make you buy them as believable. Very well written dialog. Highly recommended for an interesting thrill.

*mild spoiler coming up*

I thought everything about the setting came across as stunningly honest, except for Wyatt's bunker-door. Should really have been thick concrete to survive a blast like that. But that's nit-picking.",7
81,"I started watching this movie because I saw a lot of positive reviews...now I wonder about the sanity of those people...

This is THE FIRST review I ever wrote for IMDb, and this movie made me do it! At first, for a few minutes at least, it seems promising. Then it starts sliding a slope and it keeps accelerating. The acting is bad, but even worse are the characters' lines. It's as if they were retarded. A four year old would make decisions that make more sense. And the whole story, if you can call that mess a story, makes no sense at all.

Then comes the production which is very cheap, but that really isn't the problem - I've seen movies with lower budgets that were great. This one had a really great potential atmosphere-wise. We've seen it all - an isolated house, a bunch of people barricading in because of the possible attack by unknown evil forces (here: alien), with a somewhat unique twist - they have one captured... it could have been at least an average flick, but - trust me - it's utter crap! They say smart people learn from other people's mistakes, and stupid ones learn from their own mistakes so I'm not sure if you'll want to hear the advice of a sucker but I did step in a load of poo here, so don't say I didn't warn you! 2/10",2
82,"Four men are determined to get revenge on the vicious alien life form that held them all hostage and killed their friend. However, the quartet all find themselves in considerable jeopardy after their plan doesn't work out the way that they expected it to. Director Eduardo Sanchez, working from a tight and gripping script by Jamie Nash, relates the involving story at a snappy pace, ably crafts a tense and spooky atmosphere, maintains a dark, grim, and serious tone throughout, builds plenty of nerve-rattling suspense, and delivers a handy helping of shockingly gross'n'gruesome gore (one guy gets a hideous flesh-eating infection after he's bitten by the alien). Moreover, the evil extraterrestrial is convincingly brought to terrifying life by a guy in a funky rubber suit and proves to be a truly formidable piece of nasty work. The excellent acting by the capable no-name cast keeps the movie humming: Adam Kaufman as the troubled Wyatt, Catherine Mangan as Wyatt's feisty girlfriend Hope, Brad William Henke as the sensible Duke, Michael C. Williams as bumbling wimp Otis, and Paul McCarthy-Boyington as the reckless and belligerent Codi. Veteran character actor James Gammon likewise registers well as the crusty Sheriff Henderson. The loyalty displayed amongst the main characters gives this picture additional touching depth and resonance. The succinct 88 minute running time ensures that this film never becomes tedious or overstays its welcome. Steve Yedlin's sharp cinematography makes stunningly effective use of shadowy lighting. The shuddery score by Tony Cora and Exiquio Talavera does the skin-crawling trick. A worthy shocker.",8
83,"Loved this movie. Imagine a group of hillbillies living through an alien abduction and finally getting the chance to get THEIR turn. When it first starts, it looks like it has the potential to be a cheese-fest, but as it turns out the acting is very well done. The actors play their individual characters almost to perfection. They are what they are: Small town country boys trying to redeem themselves, but unsure of how to finish what they started.

I have no real criticism of this film because it accomplished exactly what it intended. It was very, very fun to watch, although it wasn't scary from the audience's point of view, but the actors showed fear in a way that was true to their respective characters. The casting was just about perfect. Each character behaved exactly as you would expect them to.

I was surprised at the quality of the creature effects and the effectiveness of the makeup artists. A couple things, namely intestines, weren't so impressive, but everything else was well done, especially when one of the characters develops an infection caused by an alien bite. I can't say enough about how well done the effects were.

It's really the same kind of movie as Tremors as it doesn't want any emotional investment from the viewers. It just wants to entertain. Eduardo Sánchez outdid himself with this one!",9
84,"I'm not sure why I never heard of ""Altered"" and I'm not sure why it wasn't released for vast distribution. This is a strong horror with a bit of mystery and delivers in fast-paced, often gruesome action.

Directed by Eduardo Sanchez, one of the writer's behind ""The Blair Witch Project"", brings us a killer, in-your-face action horror that doesn't let up. In fact, when the movie begins, we truly feel like we've been dropped right in the middle of it and have to hold on for one wild ride.

The only problem with this movie is what happens to many a horror - it gets too dark. I mean lighting-wise of course, making it difficult to see some of what's happening. Other than one other sound effects glitch, the movie is fast, ruthless and unforgiving.

Definitely check this one out for yourself. Hopefully, you'll be just as surprised.",8
85,"There is so very little horror out there that is even acceptable, but this one is definitely above average. I watch these movies for the adrenaline rush and this one delivers although not near as much as ""Storm Warning"" which I watched yesterday. Also, for the most part the acting is good and although special effects aren't the best I have seen much, much worse in some very good films.

I think there are too many people who vote on these films that don't even like the genre. If you don't like Sci-Fi/Horror then why watch it. If you do like them then watch this one on a rainy afternoon with someone squeamish. Half the fun of watching some of these movies is to see the other persons reaction anyway. :)

Five men abducted by aliens and only 4 survive. Years later 3 are still trying to find these aliens again to get retribution. One man has tried to move on with his life. One night the 3 finally capture an alien and take him back to the fourth survivors house. He wants no part of it. He had been kept the longest than the rest and has some secrets of his own.

This might have been better as a horror/comedy because it does come very close without ever crossing that line. There is some gore although mild to moderate for those of us who have seen the ""Saw"" films. It isn't dark in mood or theme and doesn't have a message so I would consider it light entertainment for lovers of the horror genre.",6
86,"I would rate it 8.5/10.

For those who love a great horror movie which has a fair bit of blood then this is for you. Its about a group of guys (some of which get killed) trying to restrain and fight this alien.

Some parts are quite gross and not for viewers who vomit easily. The rating (at least in Australia) doesn't see blood and gore but don't be fooled! It does a great job in scaring you. Even those who have watched the Exorcist and say it isn't scary at all (like me) will probably be scared by this one.

I really enjoyed Altered and is one of my favorite horror films.",8
87,"A group of men kidnap an alien in retaliation for treatment inflicted on them by aliens years before.

This indie horror gem shows the aftermath of the kidnapping, the tensions between the men, the back story, the repeated efforts by the alien to escape. The suspense keeps getting ratcheted up from the beginning to the end, and you're never quite sure where it's going.

Good special effects, good acting, excellent production values, all is as it should be here. This is the kind of movie you are always trying to find in the bargain bin; an overlooked horror flick that has transcended it's budget by means of sheer originality.

There are lots of movies about aliens kidnapping people. This is the first one I've ever seen about people kidnapping an alien. That alone should tell you what you need to know. Watch it, you won't be sorry.",8
88,"From the co-writer and director of Blair Witch, this movie is much better than I expected! It has a good, creepy score and good cinematography. The story is also good. This movie deserved a lot more promotion/marketing. Three drinking buddies spend years in the woods seeking to capture an alien who was among those who'd violated them in the past. (Spoiler Warning) After they capture the alien scout and throw it in their van, they transport it to a garage where a scenario not unlike the Reservoir Dogs develops. Altered is a surprise find, well worth the time even if one of the characters is a bit hard to watch. Few alien movies have such a good story. This well-directed film has good effects, unusual sets and an interesting use of lighting. Better than expected and a probable cult classic!",9
89,"I didn't really expected as good as it was,it is surprisingly good for a low budget Sci-Fi movie.Actually the movie is good for the ones who believe ALIENS ARE OUT THERE and basically the movie plays with this concept.there wasn't much of a story or action but hats of to the Director and the Special effects guys,they keep you watching the movie somehow. One Major drawback the movie has is that its all very dark,and after watching the movie if u think about it it can easily be a PART TWO of a movie,the reason i said that is because of all of the history of the characters they are talking about.sometimes u feel that the events of the past which they are talking about might have been good if they show some on screen.Over all its an OK movie and u can see and enjoy it Once.",4
